Rodada,Time,Posicao,Pontos,Jogos,Vitorias,Empates,Derrotas,GP,GC,SG
1,Palmeiras,7,3,1,1,0,0,1,0,1
1,Fluminense,8,1,1,0,1,0,2,2,0
1,Bragantino,9,1,1,0,1,0,2,2,0
1,Criciúma,10,1,1,0,1,0,1,1,0
1,Juventude,11,1,1,0,1,0,1,1,0
1,Corinthians,12,1,1,0,1,0,0,0,0
1,Atlético-MG,13,1,1,0,1,0,0,0,0
1,Botafogo,14,0,1,0,0,1,2,3,-1
1,São Paulo,15,0,1,0,0,1,1,2,-1
1,Atlético-GO,16,0,1,0,0,1,1,2,-1
1,Grêmio,17,0,1,0,0,1,1,2,-1
1,Bahia,18,0,1,0,0,1,1,2,-1
1,Vitória,19,0,1,0,0,1,0,1,-1
1,Cuiabá,20,0,1,0,0,1,0,4,-4
